 gameweek | locked_rank |   locked_tier    | overall_points_at_lock 
        3 |     8681078 | 8500001-9000000  |                     93
        3 |     8692974 | 8500001-9000000  |                     93
        3 |     8695746 | 8500001-9000000  |                     93
        3 |     8726324 | 8500001-9000000  |                     92
        3 |     8780733 | 8500001-9000000  |                     91
        3 |     8784982 | 8500001-9000000  |                     91
        3 |     8793436 | 8500001-9000000  |                     90
        3 |     8812254 | 8500001-9000000  |                     90
        3 |     8831790 | 8500001-9000000  |                     90
        3 |     8834681 | 8500001-9000000  |                     89
        3 |     8834681 | 8500001-9000000  |                     89
        3 |     8873372 | 8500001-9000000  |                     89
        3 |     8874592 | 8500001-9000000  |                     88
        3 |     8874592 | 8500001-9000000  |                     88
        3 |     8874592 | 8500001-9000000  |                     88
        3 |     8892824 | 8500001-9000000  |                     88
        3 |     8913969 | 8500001-9000000  |                     87
        3 |     8941005 | 8500001-9000000  |                     87
        3 |     8941005 | 8500001-9000000  |                     87
        3 |     8952141 | 8500001-9000000  |                     86
        3 |     8952141 | 8500001-9000000  |                     86
        3 |     8952141 | 8500001-9000000  |                     86
        3 |     8975708 | 8500001-9000000  |                     86
        3 |     8979056 | 8500001-9000000  |                     86
        3 |     8987897 | 8500001-9000000  |                     86
        3 |     9026036 | 9000001-9500000  |                     84
        3 |     9043449 | 9000001-9500000  |                     84
        3 |     9058548 | 9000001-9500000  |                     84
        3 |     9061585 | 9000001-9500000  |                     83
        3 |     9083872 | 9000001-9500000  |                     83
        3 |     9096171 | 9000001-9500000  |                     82
        3 |     9096171 | 9000001-9500000  |                     82
        3 |     9120728 | 9000001-9500000  |                     82
        3 |     9130100 | 9000001-9500000  |                     81
        3 |     9146825 | 9000001-9500000  |                     81
        3 |     9159677 | 9000001-9500000  |                     81
        3 |     9195490 | 9000001-9500000  |                     79
        3 |     9211923 | 9000001-9500000  |                     79
        3 |     9257948 | 9000001-9500000  |                     77
        3 |     9257948 | 9000001-9500000  |                     77
        3 |     9257948 | 9000001-9500000  |                     77
        3 |     9288770 | 9000001-9500000  |                     76
        3 |     9332981 | 9000001-9500000  |                     75
        3 |     9346565 | 9000001-9500000  |                     74
        3 |     9346565 | 9000001-9500000  |                     74
        3 |     9346565 | 9000001-9500000  |                     74
        3 |     9361187 | 9000001-9500000  |                     74
        3 |     9388887 | 9000001-9500000  |                     73
        3 |     9401663 | 9000001-9500000  |                     72
        3 |     9427651 | 9000001-9500000  |                     71
        3 |     9452698 | 9000001-9500000  |                     70
        3 |     9466398 | 9000001-9500000  |                     70
        3 |     9500971 | 9500001-10000000 |                     68
        3 |     9500971 | 9500001-10000000 |                     68
        3 |     9521365 | 9500001-10000000 |                     68
        3 |     9541013 | 9500001-10000000 |                     67
        3 |     9545002 | 9500001-10000000 |                     66
        3 |     9556100 | 9500001-10000000 |                     66
        3 |     9565925 | 9500001-10000000 |                     65
        3 |     9582364 | 9500001-10000000 |                     65
        3 |     9586636 | 9500001-10000000 |                     64
        3 |     9586636 | 9500001-10000000 |                     64
        3 |     9586636 | 9500001-10000000 |                     64
        3 |     9606024 | 9500001-10000000 |                     63
        3 |     9626120 | 9500001-10000000 |                     62
        3 |     9626120 | 9500001-10000000 |                     62
        3 |     9640377 | 9500001-10000000 |                     62
        3 |     9658031 | 9500001-10000000 |                     61
        3 |     9660075 | 9500001-10000000 |                     60
        3 |     9672073 | 9500001-10000000 |                     60
        3 |     9710588 | 9500001-10000000 |                     57
        3 |     9739243 | 9500001-10000000 |                     54
        3 |     9739243 | 9500001-10000000 |                     54
        3 |     9749686 | 9500001-10000000 |                     53
        3 |     9767385 | 9500001-10000000 |                     52
        3 |     9767535 | 9500001-10000000 |                     52
        3 |     9768624 | 9500001-10000000 |                     51
        3 |     9786594 | 9500001-10000000 |                     50
        3 |     9843990 | 9500001-10000000 |                     39
        3 |     9873721 | 9500001-10000000 |                     32
        3 |     9903180 | 9500001-10000000 |                     24
        3 |     9963951 | 9500001-10000000 |                     14
        3 |     9963951 | 9500001-10000000 |                     14
        3 |     9963951 | 9500001-10000000 |                     14
        3 |     9963951 | 9500001-10000000 |                     14
(675 rows)

