 gameweek | locked_rank |   locked_tier    | overall_points_at_lock 
        3 |     1179237 | 1000001-1500000  |                    165
        3 |     1179237 | 1000001-1500000  |                    165
        3 |     1196392 | 1000001-1500000  |                    165
        3 |     1196392 | 1000001-1500000  |                    165
        3 |     1196392 | 1000001-1500000  |                    165
        3 |     1196392 | 1000001-1500000  |                    165
        3 |     1234345 | 1000001-1500000  |                    164
        3 |     1234345 | 1000001-1500000  |                    164
        3 |     1274893 | 1000001-1500000  |                    164
        3 |     1315245 | 1000001-1500000  |                    163
        3 |     1340583 | 1000001-1500000  |                    163
        3 |     1340583 | 1000001-1500000  |                    163
        3 |     1360084 | 1000001-1500000  |                    163
        3 |     1360084 | 1000001-1500000  |                    163
        3 |     1403563 | 1000001-1500000  |                    162
        3 |     1493049 | 1000001-1500000  |                    161
        3 |     1518070 | 1500001-2000000  |                    161
        3 |     1518070 | 1500001-2000000  |                    161
        3 |     1518070 | 1500001-2000000  |                    161
        3 |     1538509 | 1500001-2000000  |                    161
        3 |     1538509 | 1500001-2000000  |                    161
        3 |     1576787 | 1500001-2000000  |                    161
        3 |     1612305 | 1500001-2000000  |                    160
        3 |     1612305 | 1500001-2000000  |                    160
        3 |     1633697 | 1500001-2000000  |                    160
        3 |     1633697 | 1500001-2000000  |                    160
        3 |     1633697 | 1500001-2000000  |                    160
        3 |     1633697 | 1500001-2000000  |                    160
        3 |     1682505 | 1500001-2000000  |                    159
        3 |     1682505 | 1500001-2000000  |                    159
        3 |     1709898 | 1500001-2000000  |                    159
        3 |     1709898 | 1500001-2000000  |                    159
        3 |     1773203 | 1500001-2000000  |                    159
        3 |     1782322 | 1500001-2000000  |                    158
        3 |     1782322 | 1500001-2000000  |                    158
        3 |     1810799 | 1500001-2000000  |                    158
        3 |     1810799 | 1500001-2000000  |                    158
        3 |     1810799 | 1500001-2000000  |                    158
        3 |     1833309 | 1500001-2000000  |                    158
        3 |     1876667 | 1500001-2000000  |                    158
        3 |     1886318 | 1500001-2000000  |                    157
        3 |     1886318 | 1500001-2000000  |                    157
        3 |     1916082 | 1500001-2000000  |                    157
        3 |     1916082 | 1500001-2000000  |                    157
        3 |     1939221 | 1500001-2000000  |                    157
        3 |     1939221 | 1500001-2000000  |                    157
        3 |     1939221 | 1500001-2000000  |                    157
        3 |     1990520 | 1500001-2000000  |                    157
        3 |     1993612 | 1500001-2000000  |                    156
        3 |     2023897 | 2000001-2500000  |                    156
        3 |     2047622 | 2000001-2500000  |                    156
        3 |     2047622 | 2000001-2500000  |                    156
        3 |     2047622 | 2000001-2500000  |                    156
        3 |     2047622 | 2000001-2500000  |                    156
        3 |     2047622 | 2000001-2500000  |                    156
        3 |     2047622 | 2000001-2500000  |                    156
        3 |     2047622 | 2000001-2500000  |                    156
        3 |     2047622 | 2000001-2500000  |                    156
        3 |     2104504 | 2000001-2500000  |                    155
        3 |     2104504 | 2000001-2500000  |                    155
        3 |     2104504 | 2000001-2500000  |                    155
        3 |     2135258 | 2000001-2500000  |                    155
        3 |     2135258 | 2000001-2500000  |                    155
        3 |     2135258 | 2000001-2500000  |                    155
        3 |     2159433 | 2000001-2500000  |                    155
        3 |     2159433 | 2000001-2500000  |                    155
        3 |     2159433 | 2000001-2500000  |                    155
        3 |     2217360 | 2000001-2500000  |                    154
        3 |     2274392 | 2000001-2500000  |                    154
        3 |     2274392 | 2000001-2500000  |                    154
        3 |     2274392 | 2000001-2500000  |                    154
        3 |     2333865 | 2000001-2500000  |                    153
        3 |     2333865 | 2000001-2500000  |                    153
        3 |     2366378 | 2000001-2500000  |                    153
        3 |     2391733 | 2000001-2500000  |                    153
        3 |     2391733 | 2000001-2500000  |                    153
        3 |     2439917 | 2000001-2500000  |                    153
        3 |     2448702 | 2000001-2500000  |                    153
        3 |     2486068 | 2000001-2500000  |                    152
        3 |     2511810 | 2500001-3000000  |                    152
        3 |     2511810 | 2500001-3000000  |                    152
        3 |     2575440 | 2500001-3000000  |                    151
        3 |     2608698 | 2500001-3000000  |                    151
        3 |     2634781 | 2500001-3000000  |                    151
        3 |     2634781 | 2500001-3000000  |                    151
        3 |     2684926 | 2500001-3000000  |                    151
        3 |     2684926 | 2500001-3000000  |                    151
        3 |     2684926 | 2500001-3000000  |                    151
        3 |     2694486 | 2500001-3000000  |                    151
        3 |     2699096 | 2500001-3000000  |                    150
        3 |     2699096 | 2500001-3000000  |                    150
        3 |     2733216 | 2500001-3000000  |                    150
        3 |     2759411 | 2500001-3000000  |                    150
        3 |     2759411 | 2500001-3000000  |                    150
        3 |     2820041 | 2500001-3000000  |                    150
        3 |     2860052 | 2500001-3000000  |                    149
        3 |     2860052 | 2500001-3000000  |                    149
        3 |     2860052 | 2500001-3000000  |                    149
        3 |     2860052 | 2500001-3000000  |                    149
        3 |     2886902 | 2500001-3000000  |                    149
        3 |     2886902 | 2500001-3000000  |                    149
        3 |     2886902 | 2500001-3000000  |                    149
        3 |     2886902 | 2500001-3000000  |                    149
        3 |     2938085 | 2500001-3000000  |                    149
        3 |     2953631 | 2500001-3000000  |                    148
        3 |     2953631 | 2500001-3000000  |                    148
        3 |     2953631 | 2500001-3000000  |                    148
        3 |     2953631 | 2500001-3000000  |                    148
        3 |     2990144 | 2500001-3000000  |                    148
        3 |     3017204 | 3000001-3500000  |                    148
        3 |     3017204 | 3000001-3500000  |                    148
